date,amount,description,category,subcategory
2024-01-01,-35.1,Uber,Groceries,Gas
2024-01-02,-54.15,Water Bill,Rent,Water Bill
2024-01-03,-30.57,Whole Foods,Rent,Streaming
2024-01-04,-4.31,Bookstore,Transport,Supermarket
2024-01-05,-57.02,Whole Foods,Transport,Coffee Shop
2024-01-06,-57.02,Gym,Transport,Apartment Rent
2024-01-07,-2.62,Amazon,Rent,Water Bill
2024-01-08,-26.98,Gas Station,Utilities,Books
2024-01-09,-64.08,Water Bill,Rent,Supermarket
2024-01-10,-33.72,Gas Station,Utilities,Water Bill
2024-01-11,-63.9,Water Bill,Utilities,Supermarket
2024-01-12,-63.97,Netflix,Transport,Apartment Rent
2024-01-13,-42.74,Uber,Entertainment,Books
2024-01-14,-107.4,Gym,Groceries,Coffee Shop
2024-01-15,-101.75,Bookstore,Transport,Taxi
2024-01-16,-66.87,Water Bill,Transport,Online Shopping
2024-01-17,-80.38,Gas Station,Entertainment,Coffee Shop
2024-01-18,-40.57,Gym,Groceries,Taxi
2024-01-19,-77.24,Rent Payment,Rent,Streaming
2024-01-20,-92.37,Rent Payment,Rent,Gym Membership
2024-01-21,-6.03,Whole Foods,Transport,Gas
2024-01-22,-56.77,Bookstore,Groceries,Gas
2024-01-23,-47.97,Netflix,Transport,Online Shopping
2024-01-24,-92.74,Gas Station,Utilities,Books
2024-01-25,-66.33,Uber,Transport,Apartment Rent
2024-01-26,-46.67,Uber,Transport,Books
2024-01-27,-84.53,Gas Station,Rent,Apartment Rent
2024-01-28,-38.73,Amazon,Rent,Books
2024-01-29,-68.02,Netflix,Rent,Gym Membership
2024-01-30,-58.75,Gym,Utilities,Streaming
2024-01-31,-68.05,Water Bill,Rent,Streaming
2024-02-01,5.57,Amazon,Groceries,Taxi
2024-02-02,-50.4,Water Bill,Entertainment,Water Bill
2024-02-03,-81.73,Water Bill,Groceries,Streaming
2024-02-04,-25.32,Amazon,Groceries,Streaming
2024-02-05,-86.63,Whole Foods,Rent,Coffee Shop
2024-02-06,-43.73,Rent Payment,Entertainment,Coffee Shop
2024-02-07,-108.79,Water Bill,Entertainment,Taxi
2024-02-08,-89.85,Amazon,Entertainment,Water Bill
2024-02-09,-44.09,Amazon,Utilities,Online Shopping
2024-02-10,-27.85,Starbucks,Rent,Coffee Shop
2024-02-11,-44.86,Whole Foods,Entertainment,Online Shopping
2024-02-12,-53.47,Bookstore,Utilities,Supermarket
2024-02-13,-59.03,Starbucks,Transport,Coffee Shop
2024-02-14,-94.36,Starbucks,Transport,Gym Membership
2024-02-15,-71.6,Gas Station,Utilities,Water Bill
2024-02-16,-63.82,Rent Payment,Utilities,Taxi
2024-02-17,-18.29,Amazon,Rent,Supermarket
2024-02-18,-39.69,Rent Payment,Rent,Water Bill
2024-02-19,-102.89,Netflix,Transport,Gym Membership
2024-02-20,-40.28,Gas Station,Entertainment,Water Bill
2024-02-21,-61.55,Bookstore,Transport,Gym Membership
2024-02-22,-70.31,Rent Payment,Entertainment,Gym Membership
2024-02-23,-31.65,Uber,Entertainment,Online Shopping
2024-02-24,-19.07,Water Bill,Rent,Books
2024-02-25,-22.06,Netflix,Groceries,Supermarket
2024-02-26,-75.18,Whole Foods,Groceries,Water Bill
2024-02-27,-59.28,Bookstore,Utilities,Apartment Rent
2024-02-28,-40.06,Netflix,Rent,Supermarket
2024-02-29,-20.73,Water Bill,Entertainment,Books
2024-03-01,-64.38,Gas Station,Groceries,Supermarket
2024-03-02,-55.57,Water Bill,Entertainment,Streaming
2024-03-03,-83.19,Starbucks,Groceries,Apartment Rent
2024-03-04,-85.89,Water Bill,Groceries,Books
2024-03-05,-25.62,Starbucks,Groceries,Online Shopping
2024-03-06,-9.31,Gas Station,Rent,Water Bill
2024-03-07,-52.16,Gym,Transport,Gas
2024-03-08,-19.89,Starbucks,Entertainment,Books
2024-03-09,-39.15,Whole Foods,Rent,Taxi
2024-03-10,-69.35,Water Bill,Rent,Water Bill
2024-03-11,-39.16,Water Bill,Rent,Books
2024-03-12,-3.86,Whole Foods,Rent,Streaming
2024-03-13,-51.07,Uber,Rent,Gas
2024-03-14,-3.06,Amazon,Utilities,Streaming
2024-03-15,-128.59,Gym,Entertainment,Gas
2024-03-16,-25.34,Bookstore,Rent,Taxi
2024-03-17,-47.39,Starbucks,Entertainment,Water Bill
2024-03-18,-58.97,Whole Foods,Utilities,Online Shopping
2024-03-19,-47.25,Gas Station,Utilities,Streaming
2024-03-20,-109.63,Starbucks,Entertainment,Streaming
2024-03-21,-56.59,Amazon,Groceries,Gym Membership
2024-03-22,-39.29,Gas Station,Transport,Gas
2024-03-23,-5.66,Netflix,Groceries,Coffee Shop
2024-03-24,-65.55,Water Bill,Groceries,Water Bill
2024-03-25,-74.25,Netflix,Groceries,Gas
2024-03-26,-65.05,Starbucks,Rent,Gym Membership
2024-03-27,-22.54,Amazon,Utilities,Supermarket
2024-03-28,-40.14,Gym,Groceries,Gas
2024-03-29,-65.89,Starbucks,Utilities,Online Shopping
2024-03-30,-34.6,Whole Foods,Entertainment,Water Bill
2024-03-31,-47.09,Rent Payment,Transport,Gym Membership
2024-04-01,-20.94,Starbucks,Entertainment,Supermarket
2024-04-02,-71.06,Water Bill,Entertainment,Apartment Rent
2024-04-03,-59.83,Water Bill,Rent,Gym Membership
2024-04-04,-61.76,Starbucks,Transport,Apartment Rent
2024-04-05,-93.91,Gas Station,Entertainment,Water Bill
2024-04-06,-41.12,Rent Payment,Entertainment,Streaming
2024-04-07,-42.17,Whole Foods,Transport,Gym Membership
2024-04-08,-49.85,Starbucks,Transport,Taxi
2024-04-09,-57.04,Gas Station,Entertainment,Apartment Rent
2024-04-10,-92.46,Water Bill,Transport,Online Shopping
2024-04-11,-62.62,Water Bill,Entertainment,Taxi
2024-04-12,-60.28,Amazon,Entertainment,Books
2024-04-13,-74.07,Starbucks,Rent,Books
2024-04-14,-54.84,Rent Payment,Groceries,Supermarket
2024-04-15,-37.88,Uber,Entertainment,Streaming
2024-04-16,6.59,Rent Payment,Utilities,Water Bill
2024-04-17,-44.76,Water Bill,Groceries,Gym Membership
2024-04-18,-42.27,Water Bill,Groceries,Coffee Shop
2024-04-19,-52.23,Netflix,Groceries,Online Shopping
2024-04-20,-107.56,Water Bill,Rent,Apartment Rent
2024-04-21,-50.8,Whole Foods,Entertainment,Water Bill
2024-04-22,-48.19,Bookstore,Rent,Taxi
2024-04-23,23.9,Starbucks,Entertainment,Books
2024-04-24,-55.77,Rent Payment,Rent,Online Shopping
2024-04-25,-40.95,Bookstore,Rent,Coffee Shop
2024-04-26,-51.04,Gas Station,Utilities,Gym Membership
2024-04-27,-85.06,Uber,Rent,Supermarket
2024-04-28,-15.72,Whole Foods,Transport,Coffee Shop
2024-04-29,-27.44,Rent Payment,Utilities,Online Shopping
2024-04-30,-26.27,Bookstore,Rent,Coffee Shop
2024-05-01,-77.28,Uber,Groceries,Online Shopping
2024-05-02,-7.92,Netflix,Transport,Online Shopping
2024-05-03,-92.06,Whole Foods,Transport,Gas
2024-05-04,-32.39,Whole Foods,Transport,Apartment Rent
2024-05-05,15.71,Netflix,Utilities,Books
